"31splitHere46","550172splitHere46","import com.sun.pdfview.PDFFile;<newline46mondego>import com.sun.pdfview.PDFPage;<newline46mondego><newline46mondego>import java.awt.Graphics;<newline46mondego>import java.awt.GraphicsConfiguration;<newline46mondego>import java.awt.GraphicsDevice;<newline46mondego>import java.awt.GraphicsEnvironment;<newline46mondego>import java.awt.HeadlessException;<newline46mondego>import java.awt.Image;<newline46mondego>import java.awt.Rectangle;<newline46mondego>import java.awt.Transparency;<newline46mondego>import java.io.*;<newline46mondego>import java.nio.ByteBuffer;<newline46mondego>import java.nio.channels.FileChannel;<newline46mondego>import javax.swing.*;<newline46mondego>import javax.imageio.*;<newline46mondego>import java.awt.image.*;<newline46mondego><newline46mondego>public class ImageMain {<newline46mondego>    public static void setup() throws IOException {<newline46mondego>        // load a pdf from a byte buffer<newline46mondego>        File file = new File(<doubleQuotes46>test.pdf<doubleQuotes46>);<newline46mondego>        RandomAccessFile raf = new RandomAccessFile(file, <doubleQuotes46>r<doubleQuotes46>);<newline46mondego>        FileChannel channel = raf.getChannel();<newline46mondego>        ByteBuffer buf = channel.map(FileChannel.MapMode.READ_ONLY, 0, channel.size());<newline46mondego>        PDFFile pdffile = new PDFFile(buf);<newline46mondego>        int numPgs = pdffile.getNumPages();<newline46mondego>        for (int i = 0; i < numPgs; i++) {<newline46mondego>            // draw the first page to an image<newline46mondego>            PDFPage page = pdffile.getPage(i);<newline46mondego>            // get the width and height for the doc at the default zoom<newline46mondego>            Rectangle rect = new Rectangle(0, 0, (int) page.getBBox().getWidth(), (int) page.getBBox().getHeight());<newline46mondego>            // generate the image<newline46mondego>            Image img = page.getImage(rect.width, rect.height, // width & height<newline46mondego>                    rect, // clip rect<newline46mondego>                    null, // null for the ImageObserver<newline46mondego>                    true, // fill background with white<newline46mondego>                    true // block until drawing is done<newline46mondego>                    );<newline46mondego>            // save it as a file<newline46mondego>            BufferedImage bImg = toBufferedImage(img);<newline46mondego>            File yourImageFile = new File(<doubleQuotes46>page_<doubleQuotes46> + i + <doubleQuotes46>.png<doubleQuotes46>);<newline46mondego>            ImageIO.write(bImg, <doubleQuotes46>png<doubleQuotes46>, yourImageFile);<newline46mondego>        }<newline46mondego>    }<newline46mondego><newline46mondego>    // This method returns a buffered image with the contents of an image<newline46mondego>    public static BufferedImage toBufferedImage(Image image) {<newline46mondego>        if (image instanceof BufferedImage) {<newline46mondego>            return (BufferedImage) image;<newline46mondego>        }<newline46mondego>        // This code ensures that all the pixels in the image are loaded<newline46mondego>        image = new ImageIcon(image).getImage();<newline46mondego>        // Determine if the image has transparent pixels; for this method's<newline46mondego>        // implementation, see e661 Determining If an Image Has Transparent<newline46mondego>        // Pixels<newline46mondego>        boolean hasAlpha = hasAlpha(image);<newline46mondego>        // Create a buffered image with a format that's compatible with the<newline46mondego>        // screen<newline46mondego>        BufferedImage bimage = null;<newline46mondego>        GraphicsEnvironment ge = GraphicsEnvironment.getLocalGraphicsEnvironment();<newline46mondego>        try {<newline46mondego>            // Determine the type of transparency of the new buffered image<newline46mondego>            int transparency = Transparency.OPAQUE;<newline46mondego>            if (hasAlpha) {<newline46mondego>                transparency = Transparency.BITMASK;<newline46mondego>            }<newline46mondego>            // Create the buffered image<newline46mondego>            GraphicsDevice gs = ge.getDefaultScreenDevice();<newline46mondego>            GraphicsConfiguration gc = gs.getDefaultConfiguration();<newline46mondego>            bimage = gc.createCompatibleImage(image.getWidth(null), image.getHeight(null), transparency);<newline46mondego>        } catch (HeadlessException e) {<newline46mondego>            // The system does not have a screen<newline46mondego>        }<newline46mondego>        if (bimage == null) {<newline46mondego>            // Create a buffered image using the default color model<newline46mondego>            int type = BufferedImage.TYPE_INT_RGB;<newline46mondego>            if (hasAlpha) {<newline46mondego>                type = BufferedImage.TYPE_INT_ARGB;<newline46mondego>            }<newline46mondego>            bimage = new BufferedImage(image.getWidth(null), image.getHeight(null), type);<newline46mondego>        }<newline46mondego>        // Copy image to buffered image<newline46mondego>        Graphics g = bimage.createGraphics();<newline46mondego>        // Paint the image onto the buffered image<newline46mondego>        g.drawImage(image, 0, 0, null);<newline46mondego>        g.dispose();<newline46mondego>        return bimage;<newline46mondego>    }<newline46mondego><newline46mondego>    public static boolean hasAlpha(Image image) {<newline46mondego>        // If buffered image, the color model is readily available<newline46mondego>        if (image instanceof BufferedImage) {<newline46mondego>            BufferedImage bimage = (BufferedImage) image;<newline46mondego>            return bimage.getColorModel().hasAlpha();<newline46mondego>        }<newline46mondego>        // Use a pixel grabber to retrieve the image's color model;<newline46mondego>        // grabbing a single pixel is usually sufficient<newline46mondego>        PixelGrabber pg = new PixelGrabber(image, 0, 0, 1, 1, false);<newline46mondego>        try {<newline46mondego>            pg.grabPixels();<newline46mondego>        } catch (InterruptedException e) {<newline46mondego>        }<newline46mondego>        // Get the image's color model<newline46mondego>        ColorModel cm = pg.getColorModel();<newline46mondego>        return cm.hasAlpha();<newline46mondego>    }<newline46mondego><newline46mondego>    public static void main(final String[] args) {<newline46mondego>        SwingUtilities.invokeLater(new Runnable() {<newline46mondego>            public void run() {<newline46mondego>                try {<newline46mondego>                    ImageMain.setup();<newline46mondego>                } catch (IOException ex) {<newline46mondego>                    ex.printStackTrace();<newline46mondego>                }<newline46mondego>            }<newline46mondego>        });<newline46mondego>    }<newline46mondego>}<newline46mondego>"
"32splitHere46","550336splitHere46","Desktop.getDesktop().open(File file)"
"33splitHere46","550441splitHere46","@OneToMany    <newline46mondego>@Cascade(cascade = {CascadeType.ALL, CascadeType.DELETE_ORPHAN}, mappedBy = <doubleQuotes46>temporal<doubleQuotes46>)<newline46mondego>"
"34splitHere46","551103splitHere46","boolean investable = customer.isInvestable();<newline46mondego>"
"35splitHere46","551103splitHere46","boolean investable = product.isInvestable(customer);<newline46mondego>"
"36splitHere46","551103splitHere46","if (customer.getCategory() < PRIME) {<newline46mondego>    investable = customer.getSavingsAccount().getBalance() > 1e6;<newline46mondego>} else {<newline46mondego>    investable = customer.isCeo();<newline46mondego>}<newline46mondego>"
"37splitHere46","551295splitHere46","BufferedImage bimg = ImageIO.read(new File(<doubleQuotes46>whatever.png<doubleQuotes46>));<newline46mondego><newline46mondego>    // get the colour of the pixel at position (x, y)<newline46mondego>    int col = bimg.getRGB(x, y);<newline46mondego><newline46mondego>    // decode red, green and blue components of colour if necessary<newline46mondego>    int r = (col >> 16) & 0xff;<newline46mondego>    int g = (col >> 8) & 0xff;<newline46mondego>    int b = col & 0xff;<newline46mondego>"
"38splitHere46","551591splitHere46","break"
"39splitHere46","551591splitHere46","OUTERMOST"
"40splitHere46","551591splitHere46","String valueFromObj2 = null;<newline46mondego>String valueFromObj4 = null;<newline46mondego>OUTERMOST: for(Object1 object1: objects){<newline46mondego>  for(Object2 object2: object1){<newline46mondego>    //I get some value from object2<newline46mondego>    valueFromObj2 = object2.getSomeValue();<newline46mondego>    for(Object3 object3 : object2){<newline46mondego>      for(Object4 object4: object3){<newline46mondego>        //Finally I get some value from Object4.<newline46mondego>        valueFromObj4 = object4.getSomeValue();<newline46mondego>        //Compare with valueFromObj2 to decide either to break all the foreach loop<newline46mondego>        if( compareTwoVariable(valueFromObj2, valueFromObj4 )) {<newline46mondego>          break OUTERMOST;<newline46mondego>        }<newline46mondego>      }//fourth loop ends here<newline46mondego>    }//third loop ends here<newline46mondego>  }//second loop ends here<newline46mondego>}//first loop ends here<newline46mondego>"
